state,county,year,Carbon monoxide,Nitrogen dioxide (NO2),Ozone,PM10 Total 0-10um STP,PM2.5 - Local Conditions,births_low,avg_weight_low,avg_ges_age_low,births_all,avg_weight_all,avg_ges_age_all,pct_low,high_rate
louisiana,east baton rouge,2013,0.204652,21.613714,0.043737,23.210768,9.96662,432.0,1954.204,33.91,4622.0,3179.076,38.328,0.0935,1
louisiana,east baton rouge,2014,0.263504,22.789014,0.046268,24.092329,9.813674,433.0,1925.279,33.677,4785.0,3177.846,38.321,0.0905,1
louisiana,east baton rouge,2015,0.223181,20.146556,0.041802,26.031341,12.306667,449.0,2000.967,34.027,4723.0,3188.746,38.313,0.0951,1
louisiana,east baton rouge,2016,0.222705,22.524,0.045538,25.416483,11.459205,403.0,1997.834,34.03,4550.0,3192.796,38.366,0.0886,1
louisiana,east baton rouge,2017,0.21372,21.419114,0.043534,22.465379,10.287875,381.0,1940.556,33.839,4355.0,3179.878,38.316,0.0875,1
louisiana,east baton rouge,2018,0.203054,21.456091,0.043064,27.022627,10.338369,400.0,2032.507,34.49,4365.0,3184.44,38.375,0.0916,1
louisiana,east baton rouge,2019,0.188502,21.400906,0.042003,17.260635,9.266856,380.0,1947.318,34.016,4053.0,3167.062,38.361,0.0938,1
louisiana,east baton rouge,2020,0.179957,17.349118,0.039935,19.445994,8.200576,387.0,1956.876,33.969,4090.0,3174.119,38.309,0.0946,1
maine,cumberland,2016,0.279241,17.527397,0.042011,19.245902,6.669643,105.0,1971.257,33.857,2127.0,3404.073,38.97,0.0494,0
maine,cumberland,2017,0.273875,19.939286,0.041727,18.754098,6.882144,100.0,2062.59,34.33,2190.0,3394.621,38.894,0.0457,0
maine,cumberland,2018,0.181379,7.693668,0.042809,19.433333,6.953655,89.0,1995.921,33.944,2010.0,3399.289,38.855,0.0443,0
maine,cumberland,2019,0.192696,16.952089,0.04241,21.5,9.317297,88.0,2037.864,34.489,1956.0,3404.875,38.893,0.045,0
maine,cumberland,2020,0.177403,16.165616,0.041197,18.163636,7.537606,92.0,1955.283,33.652,1960.0,3386.879,38.879,0.0469,0
maryland,baltimore city,2011,0.306189,31.984894,0.049,14.722222,13.164067,711.0,1928.761,33.757,7236.0,3188.345,38.46,0.0983,1
maryland,baltimore city,2012,0.25237,30.265714,0.049314,15.509091,12.047725,624.0,1899.224,33.402,6685.0,3193.671,38.471,0.0933,1
maryland,prince george's,2012,0.237718,8.717693,0.057815,12.294118,11.371567,801.0,1905.954,33.622,9732.0,3234.068,38.526,0.0823,1
maryland,prince george's,2013,0.225799,17.03719,0.053303,12.0,9.614349,775.0,1906.47,33.643,10071.0,3246.563,38.581,0.077,1
maryland,prince george's,2014,0.232141,17.264957,0.052124,12.051724,9.910636,757.0,1895.643,33.428,10059.0,3247.821,38.58,0.0753,1
maryland,prince george's,2015,0.245485,17.761864,0.05275,13.46875,11.264317,811.0,1970.01,34.086,10128.0,3241.868,38.612,0.0801,1
maryland,prince george's,2016,0.209549,7.792205,0.052234,10.775,8.676431,794.0,1871.99,33.395,10175.0,3237.581,38.564,0.078,1
maryland,prince george's,2017,0.204334,15.084314,0.049905,10.157025,7.385854,735.0,1901.135,33.586,9934.0,3250.974,38.586,0.074,1
maryland,prince george's,2018,0.168462,13.495028,0.051004,9.241667,6.453333,714.0,1948.31,33.951,9591.0,3246.027,38.545,0.0744,1
maryland,prince george's,2019,0.161079,5.440212,0.053176,9.672269,7.233505,634.0,1982.268,34.118,9020.0,3255.952,38.631,0.0703,1
maryland,prince george's,2020,0.176203,12.688515,0.045483,8.694915,5.858789,633.0,1944.904,33.91,8471.0,3250.599,38.549,0.0747,1
massachusetts,hampden,2011,0.37733,28.664804,0.048311,14.423729,9.7575,271.0,2000.583,34.343,4129.0,3316.769,38.887,0.0656,0
massachusetts,hampden,2012,0.240656,25.0,0.050175,13.644068,8.972174,297.0,1995.882,34.276,4166.0,3328.05,38.886,0.0713,1
massachusetts,hampden,2013,0.224444,25.33815,0.048071,13.561404,7.930328,261.0,1982.008,33.996,4083.0,3335.048,38.899,0.0639,0
massachusetts,hampden,2015,0.223998,25.076487,0.049284,14.322034,7.555932,281.0,1993.349,34.299,3927.0,3318.549,38.815,0.0716,1
massachusetts,hampden,2016,0.304347,21.960563,0.049594,13.366667,6.555046,292.0,1964.548,34.226,3882.0,3279.427,38.724,0.0752,1
massachusetts,suffolk,2011,0.316249,33.022067,0.046657,16.864407,10.303081,564.0,1975.823,34.303,8217.0,3291.755,38.84,0.0686,0
massachusetts,suffolk,2012,0.312814,30.121302,0.04818,16.75,9.476033,656.0,2000.704,34.295,8253.0,3276.633,38.793,0.0795,1
massachusetts,suffolk,2013,0.336217,29.764881,0.047802,18.945455,8.796542,648.0,1989.377,34.422,8280.0,3281.025,38.784,0.0783,1
massachusetts,suffolk,2014,0.327286,29.911681,0.043,15.542373,8.46997,643.0,1980.311,34.247,8288.0,3274.945,38.745,0.0776,1
massachusetts,suffolk,2015,0.32416,29.097421,0.03983,14.20339,8.843697,657.0,1979.84,34.253,8318.0,3271.145,38.764,0.079,1
massachusetts,suffolk,2016,0.299935,26.541547,0.04141,14.125,7.731515,576.0,2026.934,34.521,8085.0,3282.076,38.763,0.0712,1
massachusetts,suffolk,2017,0.284555,25.420613,0.038431,11.189189,8.810858,592.0,1980.841,34.255,7859.0,3263.114,38.719,0.0753,1
massachusetts,suffolk,2019,0.229219,26.171348,0.03831,9.885965,8.118008,481.0,2060.102,34.748,7235.0,3276.295,38.755,0.0665,0
massachusetts,suffolk,2020,0.223931,23.294118,0.037053,12.469027,8.295783,495.0,1987.481,34.204,6872.0,3268.544,38.685,0.072,1
massachusetts,worcester,2011,0.459863,29.735574,0.047223,16.285714,9.01,391.0,1996.13,34.231,6735.0,3362.827,38.855,0.0581,0
massachusetts,worcester,2012,0.510265,24.438547,0.049363,17.786885,8.816239,435.0,1925.326,33.968,6694.0,3343.7,38.799,0.065,0
massachusetts,worcester,2013,0.394674,23.076271,0.046971,18.166667,7.196694,445.0,1983.326,33.966,6609.0,3333.146,38.787,0.0673,0
massachusetts,worcester,2014,0.318693,24.250696,0.045222,15.175439,7.562227,443.0,1953.558,33.869,6684.0,3334.295,38.743,0.0663,0
massachusetts,worcester,2015,0.261383,25.397759,0.045381,15.101695,6.840036,428.0,1955.888,34.07,6925.0,3339.126,38.82,0.0618,0
massachusetts,worcester,2016,0.257342,23.327635,0.047727,14.931034,6.022887,378.0,1948.815,34.259,6565.0,3340.774,38.839,0.0576,0
massachusetts,worcester,2019,0.266405,21.353982,0.045712,12.672414,8.284636,383.0,2029.937,34.55,6272.0,3330.302,38.729,0.0611,0
massachusetts,worcester,2020,0.265549,20.871866,0.044282,12.745763,8.117308,407.0,2037.971,34.651,6788.0,3326.42,38.691,0.06,0
michigan,wayne,2013,0.535303,29.837989,0.050915,26.703754,11.006723,1711.0,1944.111,33.981,18826.0,3214.029,38.53,0.0909,1
michigan,wayne,2014,0.485919,28.176471,0.051793,28.831866,11.982723,1783.0,1954.845,34.067,19375.0,3213.365,38.525,0.092,1
michigan,wayne,2015,0.495576,29.727019,0.053044,29.124144,11.837512,1771.0,1969.456,34.151,18783.0,3209.792,38.489,0.0943,1
michigan,wayne,2016,0.476785,27.042938,0.053273,27.8,11.327273,1714.0,1967.284,34.044,18692.0,3210.857,38.473,0.0917,1
michigan,wayne,2017,0.652094,27.904928,0.051208,26.342764,11.310647,1739.0,1983.25,34.194,18304.0,3207.126,38.462,0.095,1
michigan,wayne,2018,0.608628,26.661813,0.046881,29.216667,11.90431,1660.0,1949.99,34.004,17665.0,3200.984,38.425,0.094,1
michigan,wayne,2019,0.524042,26.58232,0.047603,25.333333,12.595566,1605.0,1985.429,34.388,16671.0,3205.414,38.442,0.0963,1
michigan,wayne,2020,0.541406,23.672376,0.045707,24.206897,10.639183,1682.0,1978.211,34.248,16379.0,3190.679,38.374,0.1027,1
minnesota,anoka,2011,0.202664,19.370262,0.045021,18.941271,9.593414,177.0,1979.215,33.983,3046.0,3399.138,38.821,0.0581,0
minnesota,anoka,2012,0.171444,18.546243,0.048364,19.229656,8.248333,167.0,1984.491,33.802,3263.0,3425.394,38.917,0.0512,0
minnesota,anoka,2015,0.282385,16.058671,0.044335,15.122182,6.522881,131.0,1896.863,33.573,3262.0,3412.0,38.894,0.0402,0
minnesota,anoka,2016,0.277963,15.119337,0.040745,13.20848,6.575554,132.0,1925.197,34.0,3195.0,3410.537,38.94,0.0413,0
minnesota,anoka,2017,0.263906,14.965385,0.041798,13.216476,7.91316,159.0,1984.899,33.873,3301.0,3403.694,38.819,0.0482,0
minnesota,anoka,2018,0.257534,16.979341,0.043866,14.003014,8.12741,168.0,1993.524,33.964,3199.0,3395.171,38.795,0.0525,0
minnesota,anoka,2019,0.244178,16.359322,0.038991,12.462274,6.734626,173.0,2052.601,34.688,2991.0,3386.332,38.798,0.0578,0
minnesota,anoka,2020,0.210149,5.479676,0.040592,13.272662,6.242702,164.0,1950.75,33.65,3118.0,3382.478,38.767,0.0526,0
minnesota,hennepin,2014,0.174368,27.466851,0.036623,21.237288,9.784202,772.0,2007.244,34.153,13653.0,3366.73,38.926,0.0565,0
